Date,Total Sales,Brand,Customer_Age_Group,City,Payment Method,Mobile Model,Day,Month,Year,Day Name
2021-10-23,525028.5,Vivo,25-29,Delhi,Credit Card,Vivo Y51,23,10,2021,Saturday
2021-10-23,94475.64,Vivo,45-49,Bhopal,UPI,Vivo S1,23,10,2021,Saturday
2021-10-23,130539.52,Vivo,40-44,Mumbai,UPI,Vivo Y51,23,10,2021,Sat
2021-10-24,374790.12,Samsung,30-34,Madurai,UPI,Galaxy Note 20,24,10,2021,Sun
2021-10-24,88531.18,Vivo,35-39,Ranchi,Debit Card,Vivo V20,24,10,2021,Sun
2021-10-24,10539.92,OnePlus,55-59,Delhi,UPI,OnePlus Nord,24,10,2021,Sun
2021-10-25,178280.55000000002,OnePlus,30-34,Lucknow,Debit Card,OnePlus 9,25,10,2021,Mon
2021-10-25,68818.72,Samsung,35-39,Bhopal,UPI,Galaxy Note 20,25,10,2021,Monday
2021-10-25,75207.7,Vivo,20-24,Mumbai,Cash,Vivo Y51,25,10,2021,Monday
2021-10-25,139303.65,Vivo,20-24,Delhi,Cash,Vivo Y51,25,10,2021,Monday
2021-10-26,59884.350000000006,Vivo,40-44,Kolkata,Credit Card,Vivo S1,26,10,2021,Tuesday
2021-10-26,317853.48,Apple,35-39,Delhi,Debit Card,iPhone 12,26,10,2021,Tuesday
2021-10-26,41449.28,Xiaomi,45-49,Kanpur,Credit Card,Redmi 9,26,10,2021,Tue
2021-10-26,215840.32,Apple,20-24,Kanpur,UPI,iPhone 11,26,10,2021,Tue
2021-10-27,36835.68,Xiaomi,45-49,Mumbai,UPI,Redmi Note 10,27,10,2021,Wed
2021-10-27,278702.6,Vivo,20-24,Madurai,Cash,Vivo Y51,27,10,2021,Wed
2021-10-27,350272.52999999997,Vivo,30-34,Gorakhpur,Credit Card,Vivo V20,27,10,2021,Wed
2021-10-27,221441.0,Apple,35-39,Ludhiana,UPI,iPhone SE,27,10,2021,Wed
2021-10-28,185694.19999999998,Apple,40-44,Kanpur,UPI,iPhone SE,28,10,2021,Thu
2021-10-28,88131.54,Xiaomi,25-29,Ludhiana,Debit Card,Redmi 9,28,10,2021,Thu
2021-10-28,114304.16,OnePlus,30-34,Indore,UPI,OnePlus Nord,28,10,2021,Thu
2021-10-29,29206.61,Xiaomi,35-39,Kanpur,Credit Card,Redmi 9,29,10,2021,Fri
2021-10-29,542710.53,Apple,25-29,Chennai,Cash,iPhone 12,29,10,2021,Fri
2021-10-29,197015.2,Apple,20-24,Delhi,Cash,iPhone 12,29,10,2021,Friday
2021-10-29,238732.11000000002,Samsung,30-34,Ranchi,UPI,Galaxy Note 20,29,10,2021,Friday
2021-10-30,408386.39999999997,Apple,25-29,Patna,UPI,iPhone 12,30,10,2021,Saturday
2021-10-30,29292.51,Samsung,15-19,Delhi,UPI,Galaxy Note 20,30,10,2021,Saturday
2021-10-30,209682.12,OnePlus,20-24,Delhi,Debit Card,OnePlus Nord,30,10,2021,Saturday
2021-10-31,139539.64,Xiaomi,45-49,Mumbai,UPI,Redmi Note 10,31,10,2021,Sunday
2021-10-31,193253.67,Xiaomi,35-39,Mumbai,UPI,Redmi Note 10,31,10,2021,Sunday
2021-10-31,28764.47,Samsung,25-29,Mumbai,Debit Card,Galaxy A51,31,10,2021,Sunday
2021-10-31,352463.85000000003,Xiaomi,45-49,Chennai,Credit Card,Redmi 9,31,10,2021,Sunday
2021-11-01,448614.36,Apple,50-54,Lucknow,Debit Card,iPhone SE,1,11,2021,Monday
2021-11-01,333462.8,Vivo,20-24,Chennai,Cash,Vivo Y51,1,11,2021,Monday
2021-11-01,545331.92,Samsung,45-49,Gorakhpur,Debit Card,Galaxy Note 20,1,11,2021,Monday
2021-11-01,53439.35,Xiaomi,20-24,Bhopal,Debit Card,Redmi Note 10,1,11,2021,Monday
2021-11-02,181781.52,Samsung,20-24,Delhi,Credit Card,Galaxy A51,2,11,2021,Tuesday
2021-11-02,48917.55,Samsung,45-49,Delhi,Credit Card,Galaxy S21,2,11,2021,Tuesday
2021-11-02,359128.56,Vivo,55-59,Delhi,UPI,Vivo S1,2,11,2021,Tuesday
2021-11-02,19507.15,Apple,30-34,Bangalore,Debit Card,iPhone SE,2,11,2021,Tuesday
2021-11-03,57260.61,Samsung,20-24,Patna,Credit Card,Galaxy A51,3,11,2021,Wednesday
2021-11-03,143311.0,Xiaomi,45-49,Delhi,Cash,Redmi 9,3,11,2021,Wednesday
2021-11-03,148068.0,OnePlus,40-44,Delhi,UPI,OnePlus Nord,3,11,2021,Wednesday
2021-11-03,85183.2,Samsung,30-34,Delhi,Debit Card,Galaxy Note 20,3,11,2021,Wednesday
2021-11-04,364424.76,Samsung,35-39,Jodhpur,Cash,Galaxy S21,4,11,2021,Thursday
2021-11-04,134369.52,Vivo,35-39,Bangalore,Credit Card,Vivo S1,4,11,2021,Thursday
2021-11-04,338236.98,Apple,40-44,Indore,UPI,iPhone 11,4,11,2021,Thursday
2021-11-04,237072.41999999998,OnePlus,40-44,Mumbai,Cash,OnePlus 8T,4,11,2021,Thursday
2021-11-05,114113.58,Xiaomi,55-59,Mumbai,Debit Card,Redmi 9,5,11,2021,Friday
2021-11-05,270213.54,OnePlus,40-44,Ranchi,Cash,OnePlus Nord,5,11,2021,Friday
2021-11-05,74730.0,Xiaomi,25-29,Madurai,UPI,Mi 11,5,11,2021,Friday
2021-11-05,167817.41999999998,Apple,35-39,Hyderabad,Debit Card,iPhone SE,5,11,2021,Friday
2021-11-06,85127.81999999999,Xiaomi,45-49,Patna,Debit Card,Mi 11,6,11,2021,Saturday
2021-11-06,309776.8,Vivo,35-39,Gorakhpur,Cash,Vivo S1,6,11,2021,Saturday
2021-11-06,183068.55000000002,Vivo,20-24,Indore,UPI,Vivo Y51,6,11,2021,Saturday
2021-11-06,55140.11,Vivo,45-49,Ludhiana,Debit Card,Vivo S1,6,11,2021,Saturday
2021-11-07,194086.41,Vivo,40-44,Vadodara,UPI,Vivo Y51,7,11,2021,Sunday
2021-11-07,129742.70999999999,OnePlus,40-44,Gorakhpur,Credit Card,OnePlus 9,7,11,2021,Sunday
2021-11-07,333030.72,Apple,25-29,Ranchi,Cash,iPhone SE,7,11,2021,Sunday
2021-11-07,55837.79,Xiaomi,50-54,Mumbai,UPI,Redmi 9,7,11,2021,Sunday
2021-11-08,51523.649999999994,Xiaomi,50-54,Indore,Credit Card,Mi 11,8,11,2021,Monday
2021-11-08,195196.56,Vivo,40-44,Delhi,Credit Card,Vivo S1,8,11,2021,Monday
2021-11-08,43693.86,Vivo,45-49,Rajkot,UPI,Vivo V20,8,11,2021,Monday
2021-11-09,552377.04,Samsung,45-49,Gorakhpur,UPI,Galaxy S21,9,11,2021,Tuesday
2021-11-09,162525.72,Apple,15-19,Bhopal,Cash,iPhone 11,9,11,2021,Tuesday
2021-11-09,395185.49,OnePlus,35-39,Gorakhpur,Cash,OnePlus 8T,9,11,2021,Tuesday
2021-11-10,49372.18,Xiaomi,25-29,Delhi,Debit Card,Redmi 9,10,11,2021,Wednesday
2021-11-10,229798.74,Samsung,30-34,Kanpur,Cash,Galaxy Note 20,10,11,2021,Wednesday
2021-11-10,132892.98,Samsung,30-34,Mumbai,UPI,Galaxy S21,10,11,2021,Wednesday
2021-11-10,102273.36,Xiaomi,50-54,Delhi,Debit Card,Redmi Note 10,10,11,2021,Wednesday
2021-11-11,284625.42,OnePlus,30-34,Delhi,Credit Card,OnePlus Nord,11,11,2021,Thursday
2021-11-11,95131.78,Samsung,20-24,Delhi,Credit Card,Galaxy S21,11,11,2021,Thursday
2021-11-11,380832.30000000005,Samsung,25-29,Gorakhpur,UPI,Galaxy Note 20,11,11,2021,Thursday
2021-11-11,282375.66,Apple,50-54,Chennai,Debit Card,iPhone SE,11,11,2021,Thursday
2021-11-12,73143.3,OnePlus,40-44,Kolkata,Debit Card,OnePlus Nord,12,11,2021,Friday
2021-11-12,85115.28,Samsung,30-34,Hyderabad,Cash,Galaxy A51,12,11,2021,Friday
2021-11-12,197351.04,OnePlus,45-49,Mumbai,Credit Card,OnePlus 8T,12,11,2021,Friday
2021-11-12,97422.12,Xiaomi,25-29,Delhi,Credit Card,Redmi 9,12,11,2021,Friday
2021-11-13,160990.02,Vivo,15-19,Delhi,Cash,Vivo S1,13,11,2021,Saturday
2021-11-13,59228.14,Samsung,30-34,Rajkot,Credit Card,Galaxy S21,13,11,2021,Saturday
2021-11-13,180236.72,Apple,25-29,Delhi,Cash,iPhone 12,13,11,2021,Saturday
2021-11-14,162046.6,Xiaomi,25-29,Madurai,Credit Card,Redmi 9,14,11,2021,Sunday
2021-11-14,29107.12,OnePlus,45-49,Rajkot,Credit Card,OnePlus 8T,14,11,2021,Sunday
2021-11-14,484701.12,Xiaomi,15-19,Chennai,Credit Card,Mi 11,14,11,2021,Sunday
2021-11-14,109052.44,Samsung,40-44,Jodhpur,Cash,Galaxy Note 20,14,11,2021,Sunday
2021-11-15,379566.67,OnePlus,35-39,Ranchi,Credit Card,OnePlus 8T,15,11,2021,Monday
2021-11-15,42618.270000000004,Vivo,30-34,Coimbatore,Credit Card,Vivo V20,15,11,2021,Monday
2021-11-15,185617.44,Xiaomi,25-29,Mumbai,Debit Card,Mi 11,15,11,2021,Monday
2021-11-16,319791.92,Samsung,45-49,Mumbai,Credit Card,Galaxy Note 20,16,11,2021,Tuesday
2021-11-16,290483.84,Apple,55-59,Delhi,UPI,iPhone SE,16,11,2021,Tuesday
2021-11-16,46661.4,OnePlus,45-49,Bangalore,Credit Card,OnePlus 8T,16,11,2021,Tuesday
2021-11-17,94903.04,Xiaomi,15-19,Delhi,Credit Card,Mi 11,17,11,2021,Wednesday
2021-11-17,143376.88,Xiaomi,20-24,Mumbai,Debit Card,Mi 11,17,11,2021,Wednesday
2021-11-17,55374.02,Vivo,30-34,Mumbai,Debit Card,Vivo Y51,17,11,2021,Wednesday
2021-11-18,212445.6,Vivo,25-29,Lucknow,Cash,Vivo V20,18,11,2021,Thursday
2021-11-18,514381.68,Apple,35-39,Patna,Cash,iPhone SE,18,11,2021,Thursday
2021-11-18,118142.08,Apple,50-54,Kolkata,UPI,iPhone 12,18,11,2021,Thursday
2021-11-19,123103.84,Samsung,30-34,Gorakhpur,Debit Card,Galaxy A51,19,11,2021,Friday
2021-11-19,350786.16000000003,Samsung,40-44,Mumbai,Cash,Galaxy A51,19,11,2021,Friday
2021-11-19,282450.87,Apple,30-34,Mumbai,Cash,iPhone SE,19,11,2021,Friday
2021-11-20,128454.88,Apple,30-34,Indore,Cash,iPhone SE,20,11,2021,Saturday
2021-11-20,541706.32,OnePlus,25-29,Ludhiana,Debit Card,OnePlus 9,20,11,2021,Saturday
2021-11-20,344092.84,Vivo,25-29,Delhi,Debit Card,Vivo S1,20,11,2021,Saturday
2021-11-20,336293.73,Samsung,55-59,Delhi,UPI,Galaxy Note 20,20,11,2021,Saturday
2021-11-21,67732.8,Vivo,20-24,Ranchi,Debit Card,Vivo Y51,21,11,2021,Sunday
2021-11-21,88446.95999999999,Vivo,40-44,Coimbatore,Debit Card,Vivo S1,21,11,2021,Sunday
2021-11-21,551094.88,Apple,55-59,Hyderabad,Debit Card,iPhone 11,21,11,2021,Sunday
2021-11-21,108509.04000000001,OnePlus,40-44,Delhi,UPI,OnePlus 8T,21,11,2021,Sunday
2021-11-22,259994.69999999998,Xiaomi,25-29,Ludhiana,Credit Card,Redmi 9,22,11,2021,Monday
2021-11-22,156519.44,OnePlus,35-39,Coimbatore,Credit Card,OnePlus Nord,22,11,2021,Monday
2021-11-22,309439.76,OnePlus,40-44,Delhi,Cash,OnePlus Nord,22,11,2021,Monday
2021-11-22,114845.97,Vivo,25-29,Gorakhpur,Credit Card,Vivo V20,22,11,2021,Monday
2021-11-23,61641.09,OnePlus,25-29,Kolkata,Credit Card,OnePlus Nord,23,11,2021,Tuesday
2021-11-23,149567.6,Samsung,25-29,Patna,UPI,Galaxy A51,23,11,2021,Tuesday
2021-11-23,126430.3,Vivo,25-29,Madurai,UPI,Vivo V20,23,11,2021,Tuesday
2021-11-23,194614.71,Samsung,25-29,Mumbai,Credit Card,Galaxy Note 20,23,11,2021,Tuesday
2021-11-24,16783.18,Xiaomi,40-44,Mumbai,Credit Card,Redmi Note 10,24,11,2021,Wednesday
2021-11-24,166336.53,Vivo,50-54,Mumbai,Credit Card,Vivo Y51,24,11,2021,Wednesday
2021-11-24,499076.10000000003,Xiaomi,40-44,Ludhiana,Cash,Redmi Note 10,24,11,2021,Wednesday
2021-11-24,292931.1,Vivo,45-49,Delhi,UPI,Vivo S1,24,11,2021,Wednesday
2021-11-25,126393.86,Apple,35-39,Delhi,Credit Card,iPhone 12,25,11,2021,Thursday
2021-11-25,180475.19,OnePlus,55-59,Mumbai,Debit Card,OnePlus Nord,25,11,2021,Thursday
2021-11-25,46947.14,Apple,20-24,Lucknow,Credit Card,iPhone 11,25,11,2021,Thursday
2021-11-26,151721.36,Xiaomi,30-34,Vadodara,Debit Card,Redmi 9,26,11,2021,Friday
2021-11-26,181337.44999999998,OnePlus,45-49,Delhi,Cash,OnePlus 9,26,11,2021,Friday
2021-11-26,216234.4,Vivo,20-24,Delhi,Debit Card,Vivo V20,26,11,2021,Friday
2021-11-26,337094.59,OnePlus,30-34,Patna,UPI,OnePlus 8T,26,11,2021,Friday
2021-11-27,437494.82,Samsung,15-19,Indore,Cash,Galaxy A51,27,11,2021,Saturday
2021-11-27,14964.3,OnePlus,40-44,Chennai,Cash,OnePlus 8T,27,11,2021,Saturday
2021-11-27,389430.0,Samsung,35-39,Bangalore,Credit Card,Galaxy A51,27,11,2021,Saturday
2021-11-27,248408.27999999997,OnePlus,40-44,Coimbatore,Cash,OnePlus Nord,27,11,2021,Saturday
2021-11-28,78883.32,Samsung,35-39,Delhi,Cash,Galaxy Note 20,28,11,2021,Sunday
2021-11-28,108950.07,Xiaomi,40-44,Mumbai,Debit Card,Mi 11,28,11,2021,Sunday
2021-11-28,278093.5,Apple,40-44,Delhi,Credit Card,iPhone SE,28,11,2021,Sunday
2021-11-29,316980.0,Vivo,30-34,Gorakhpur,UPI,Vivo Y51,29,11,2021,Monday
2021-11-29,266452.76,OnePlus,40-44,Delhi,Credit Card,OnePlus Nord,29,11,2021,Monday
2021-11-29,64152.03,Apple,45-49,Lucknow,UPI,iPhone 11,29,11,2021,Monday
2021-11-29,249318.68,Vivo,45-49,Delhi,Debit Card,Vivo Y51,29,11,2021,Monday
2021-11-30,85653.0,Vivo,45-49,Kolkata,Cash,Vivo Y51,30,11,2021,Tuesday
2021-11-30,306277.4,Samsung,35-39,Patna,Cash,Galaxy S21,30,11,2021,Tuesday
2021-11-30,56898.13,Xiaomi,20-24,Delhi,Credit Card,Mi 11,30,11,2021,Tuesday
2021-12-01,64843.12,Xiaomi,55-59,Jodhpur,Credit Card,Redmi Note 10,1,12,2021,Wednesday
2021-12-01,98669.16,Apple,25-29,Chennai,Credit Card,iPhone SE,1,12,2021,Wednesday
2021-12-01,64279.32,Xiaomi,55-59,Bangalore,Cash,Redmi 9,1,12,2021,Wednesday
2021-12-01,96119.63999999998,OnePlus,45-49,Jodhpur,Cash,OnePlus 8T,1,12,2021,Wednesday
2021-12-02,214590.3,Xiaomi,25-29,Delhi,Debit Card,Redmi Note 10,2,12,2021,Thursday
2021-12-02,547229.28,Apple,40-44,Chennai,UPI,iPhone SE,2,12,2021,Thursday
2021-12-02,326889.72000000003,Xiaomi,55-59,Jodhpur,Credit Card,Redmi Note 10,2,12,2021,Thursday
2021-12-03,212227.25,OnePlus,30-34,Mumbai,Cash,OnePlus 9,3,12,2021,Friday
2021-12-03,408469.14,Samsung,55-59,Jodhpur,UPI,Galaxy A51,3,12,2021,Friday
2021-12-03,25310.93,Apple,50-54,Delhi,Credit Card,iPhone 12,3,12,2021,Friday
2021-12-03,430557.54000000004,Samsung,30-34,Delhi,Credit Card,Galaxy S21,3,12,2021,Friday
2021-12-04,171133.72,Samsung,25-29,Mumbai,UPI,Galaxy A51,4,12,2021,Saturday
2021-12-04,88337.18,Samsung,30-34,Madurai,UPI,Galaxy Note 20,4,12,2021,Saturday
2021-12-04,152952.15,Vivo,50-54,Gorakhpur,UPI,Vivo Y51,4,12,2021,Saturday
2021-12-04,131085.18,Vivo,20-24,Lucknow,Cash,Vivo V20,4,12,2021,Saturday
2021-12-05,86331.29999999999,Samsung,55-59,Hyderabad,Debit Card,Galaxy Note 20,5,12,2021,Sunday
2021-12-05,447028.88,Apple,45-49,Bhopal,Credit Card,iPhone SE,5,12,2021,Sunday
2021-12-05,189568.89,OnePlus,35-39,Delhi,Credit Card,OnePlus Nord,5,12,2021,Sunday
2021-12-06,189769.5,OnePlus,20-24,Mumbai,UPI,OnePlus Nord,6,12,2021,Monday
2021-12-06,256568.32,Xiaomi,40-44,Rajkot,Cash,Redmi Note 10,6,12,2021,Monday
2021-12-06,37138.9,Apple,30-34,Delhi,UPI,iPhone SE,6,12,2021,Monday
2021-12-07,465776.01,Vivo,55-59,Delhi,Cash,Vivo V20,7,12,2021,Tuesday
2021-12-07,79498.76,Samsung,40-44,Ranchi,Debit Card,Galaxy S21,7,12,2021,Tuesday
2021-12-07,55220.83,Xiaomi,55-59,Ranchi,Credit Card,Redmi 9,7,12,2021,Tuesday
2021-12-08,544693.84,OnePlus,55-59,Delhi,Credit Card,OnePlus Nord,8,12,2021,Wednesday
2021-12-08,397412.19,Vivo,30-34,Chennai,Cash,Vivo V20,8,12,2021,Wednesday
2021-12-08,56734.75,Vivo,55-59,Bhopal,Debit Card,Vivo S1,8,12,2021,Wednesday
2021-12-09,229965.75,Samsung,30-34,Mumbai,Debit Card,Galaxy Note 20,9,12,2021,Thursday
2021-12-09,362072.48,OnePlus,45-49,Madurai,Credit Card,OnePlus 9,9,12,2021,Thursday
2021-12-09,297637.5,Apple,50-54,Bangalore,Credit Card,iPhone 12,9,12,2021,Thursday
2021-12-10,106881.12,Vivo,35-39,Delhi,UPI,Vivo S1,10,12,2021,Friday
2021-12-10,232838.82,Samsung,35-39,Jodhpur,Cash,Galaxy A51,10,12,2021,Friday
2021-12-10,210611.25,Apple,15-19,Jodhpur,Credit Card,iPhone 12,10,12,2021,Friday
2021-12-11,181327.41,OnePlus,40-44,Chennai,Debit Card,OnePlus 9,11,12,2021,Saturday
2021-12-11,58693.98,Vivo,45-49,Ranchi,Debit Card,Vivo V20,11,12,2021,Saturday
2021-12-11,36413.3,Apple,20-24,Gorakhpur,Credit Card,iPhone SE,11,12,2021,Saturday
2021-12-12,479940.64,Apple,55-59,Ludhiana,Debit Card,iPhone 12,12,12,2021,Sunday
2021-12-12,197293.34999999998,Apple,15-19,Delhi,Cash,iPhone 11,12,12,2021,Sunday
2021-12-12,333937.59,Vivo,55-59,Bangalore,Debit Card,Vivo Y51,12,12,2021,Sunday
2021-12-13,269573.68,Vivo,35-39,Delhi,Debit Card,Vivo S1,13,12,2021,Monday
2021-12-13,151451.16,Xiaomi,45-49,Delhi,Credit Card,Redmi Note 10,13,12,2021,Monday
2021-12-13,620352.99,OnePlus,30-34,Delhi,Cash,OnePlus 9,13,12,2021,Monday
2021-12-13,482868.39999999997,Samsung,45-49,Jodhpur,Cash,Galaxy Note 20,13,12,2021,Monday
2021-12-14,327493.10000000003,Apple,35-39,Indore,UPI,iPhone 12,14,12,2021,Tuesday
2021-12-14,457121.2,Xiaomi,45-49,Delhi,Cash,Redmi 9,14,12,2021,Tuesday
2021-12-14,59093.54,Samsung,20-24,Delhi,UPI,Galaxy A51,14,12,2021,Tuesday
2021-12-14,413140.20999999996,Xiaomi,15-19,Delhi,Credit Card,Redmi 9,14,12,2021,Tuesday
2021-12-15,138110.32,Vivo,35-39,Ranchi,Debit Card,Vivo V20,15,12,2021,Wednesday
2021-12-15,266457.51,Apple,20-24,Mumbai,Cash,iPhone 12,15,12,2021,Wednesday
2021-12-15,54691.92,Samsung,20-24,Ludhiana,UPI,Galaxy Note 20,15,12,2021,Wednesday
2021-12-16,103454.68,Samsung,45-49,Patna,Cash,Galaxy Note 20,16,12,2021,Thursday
2021-12-16,77482.56,Samsung,45-49,Delhi,Credit Card,Galaxy A51,16,12,2021,Thursday
2021-12-16,295017.76,Samsung,50-54,Delhi,UPI,Galaxy S21,16,12,2021,Thursday
2021-12-16,183691.65000000002,Samsung,35-39,Delhi,UPI,Galaxy S21,16,12,2021,Thursday
2021-12-17,63738.65,Xiaomi,35-39,Mumbai,UPI,Redmi 9,17,12,2021,Friday
2021-12-17,17569.19,Apple,40-44,Patna,Credit Card,iPhone SE,17,12,2021,Friday
2021-12-17,156573.36000000002,Vivo,55-59,Kanpur,UPI,Vivo Y51,17,12,2021,Friday
2021-12-17,113082.95999999999,Vivo,40-44,Kanpur,Debit Card,Vivo Y51,17,12,2021,Friday
2021-12-18,58920.9,Vivo,30-34,Delhi,Credit Card,Vivo S1,18,12,2021,Saturday
2021-12-18,14303.9,Vivo,55-59,Mumbai,Debit Card,Vivo V20,18,12,2021,Saturday
2021-12-18,297553.14,Xiaomi,40-44,Delhi,Debit Card,Mi 11,18,12,2021,Saturday
2021-12-18,215370.36,OnePlus,15-19,Bangalore,Credit Card,OnePlus Nord,18,12,2021,Saturday
2021-12-19,167448.54,Apple,30-34,Bhopal,Cash,iPhone 12,19,12,2021,Sunday
2021-12-19,556446.88,Samsung,50-54,Kanpur,Debit Card,Galaxy A51,19,12,2021,Sunday
2021-12-19,49542.08,OnePlus,25-29,Gorakhpur,Credit Card,OnePlus 9,19,12,2021,Sunday
2021-12-19,13027.33,Vivo,30-34,Coimbatore,Debit Card,Vivo Y51,19,12,2021,Sunday
2021-12-20,97642.62,OnePlus,40-44,Delhi,UPI,OnePlus 9,20,12,2021,Monday
2021-12-20,62860.25,Apple,30-34,Ranchi,Debit Card,iPhone 12,20,12,2021,Monday
2021-12-20,249898.56,Samsung,50-54,Kolkata,Debit Card,Galaxy A51,20,12,2021,Monday
2021-12-21,59490.23,Samsung,50-54,Delhi,Debit Card,Galaxy S21,21,12,2021,Tuesday
2021-12-21,368380.44,Apple,15-19,Mumbai,UPI,iPhone 11,21,12,2021,Tuesday
2021-12-21,196981.41,Apple,50-54,Kanpur,Debit Card,iPhone SE,21,12,2021,Tuesday
2021-12-21,535918.0,Vivo,35-39,Bhopal,Credit Card,Vivo S1,21,12,2021,Tuesday
2021-12-22,259737.30000000002,Samsung,40-44,Delhi,Debit Card,Galaxy A51,22,12,2021,Wednesday
2021-12-22,30461.21,OnePlus,55-59,Mumbai,Credit Card,OnePlus Nord,22,12,2021,Wednesday
2021-12-22,338559.45,Xiaomi,20-24,Mumbai,Debit Card,Redmi 9,22,12,2021,Wednesday
2021-12-23,342755.04,Xiaomi,50-54,Delhi,Debit Card,Redmi 9,23,12,2021,Thursday
2021-12-23,41565.479999999996,Apple,30-34,Indore,Debit Card,iPhone SE,23,12,2021,Thursday
